date,open,close,low,high,volume
2019-05-28,77.25,77.1,76.85,77.25,9812310.0
2019-05-29,76.5,76.75,76.3,76.8,9659519.0
2019-05-30,76.75,77.4,76.75,77.5,7658659.0
2019-05-31,77.35,78.45,77.3,78.45,7566310.0
2019-06-03,78.2,78.55,77.65,78.65,6017694.0
2019-06-04,78.45,78.05,78.0,78.6,7228829.0
2019-06-05,78.85,78.3,78.25,78.95,7051894.0
2019-06-06,77.7,77.7,77.45,77.85,7456203.0
2019-06-10,78.65,79.05,78.35,79.05,7666763.0
2019-06-11,79.2,79.4,79.05,79.8,10623986.0
2019-06-12,79.4,79.7,79.25,79.8,9258296.0
2019-06-13,79.4,79.05,78.95,79.55,5914941.0
2019-06-14,79.0,78.9,78.8,79.15,3164087.0
2019-06-17,78.45,78.7,78.1,78.95,6141128.0
2019-06-18,78.8,78.9,78.6,79.0,2890377.0
2019-06-19,80.0,80.75,79.95,80.8,21832509.0
2019-06-20,80.75,80.85,80.65,81.0,11581994.0
2019-06-21,81.1,80.85,80.8,81.2,15343532.0
2019-06-24,80.8,81.2,80.7,81.5,16600747.0
2019-06-25,81.15,80.75,80.6,81.4,7941128.0
2019-06-26,80.6,80.35,80.25,80.6,5913352.0
2019-06-27,80.55,81.5,80.55,81.6,15351329.0
2019-06-28,81.45,80.9,80.85,81.55,3940686.0
2019-07-01,82.05,82.65,82.05,82.8,13771395.0
2019-07-02,82.65,82.45,82.4,82.7,5209290.0
2019-07-03,82.35,81.5,81.35,82.35,8615424.0
2019-07-04,81.8,82.0,81.8,82.2,5777556.0
2019-07-05,82.1,81.9,81.8,82.35,1612933.0
2019-07-08,81.8,81.6,81.4,82.0,3859058.0
2019-07-09,81.75,81.5,81.4,81.75,4083155.0
2019-07-10,81.95,82.2,81.85,82.25,4427730.0
2019-07-11,82.65,82.85,82.5,83.05,10379773.0
2019-07-12,82.85,82.75,82.7,83.0,2972505.0
2019-07-15,82.85,83.2,82.25,83.35,9336043.0
2019-07-16,83.2,83.35,83.15,83.45,5503245.0
2019-07-17,83.25,82.8,82.8,83.25,10598530.0
2019-07-18,82.6,82.7,82.6,82.95,7541026.0
2019-07-19,83.0,83.0,83.0,83.45,9780922.0
2019-07-22,83.1,83.4,83.1,83.5,8368544.0
2019-07-23,83.6,83.6,83.5,83.9,5899116.0
2019-07-24,83.75,83.55,83.55,83.9,3364336.0
2019-07-25,83.55,83.8,83.4,83.8,4931659.0
2019-07-26,83.4,83.25,83.2,83.4,3129687.0
2019-07-29,83.1,83.45,83.05,83.45,3042246.0
2019-07-30,83.6,83.2,83.2,83.7,2083374.0
2019-07-31,83.15,82.8,82.45,83.15,3119262.0
2019-08-01,82.2,82.3,82.1,82.55,5042943.0
2019-08-02,81.05,80.95,80.6,81.2,16846402.0
2019-08-05,80.7,80.15,79.9,80.85,20659506.0
2019-08-06,78.65,80.1,78.5,80.45,24901846.0
2019-08-07,80.15,79.7,79.55,80.2,16856004.0
2019-08-08,80.05,80.65,80.0,80.8,5036121.0
2019-08-12,80.65,80.6,80.15,80.85,3168030.0
2019-08-13,80.15,79.7,79.55,80.15,7431519.0
2019-08-14,80.7,80.3,80.3,80.8,7382138.0
2019-08-15,79.2,79.4,79.1,79.6,15972089.0
2019-08-16,79.45,80.35,79.25,80.35,6158748.0
2019-08-19,80.75,80.8,80.3,80.9,6475352.0
2019-08-20,80.85,81.0,80.8,81.1,4179197.0
2019-08-21,80.95,81.1,80.9,81.15,6092896.0
2019-08-22,81.3,80.9,80.8,81.65,9379398.0
2019-08-23,80.9,81.0,80.75,81.1,3211036.0
2019-08-26,79.8,79.65,79.6,80.1,12292310.0
2019-08-27,80.15,79.85,79.75,80.2,2535864.0
2019-08-28,80.1,80.4,80.1,80.55,3318188.0
2019-08-29,80.45,80.55,80.0,80.6,3233649.0
2019-08-30,81.15,81.85,81.15,81.9,19370894.0
2019-09-02,81.8,81.9,81.65,82.0,6457870.0
2019-09-03,81.85,81.2,81.2,82.0,5052925.0
2019-09-04,81.45,82.15,81.4,82.2,10748771.0
2019-09-05,82.55,83.0,82.55,83.2,25429390.0
2019-09-06,83.25,83.5,83.25,83.55,17226303.0
2019-09-09,83.7,83.8,83.65,84.0,12633348.0
2019-09-10,83.95,83.4,83.2,83.95,5171847.0
2019-09-11,83.75,83.45,83.3,83.9,4746200.0
